state,f_Hz,kappa,qfi_lambda,qfi_h,sigma_h_over_hSQL,cutoff,converged
cat_even,1067.3398462412626,0.01974582646328254,7.681018272048201,1.2936390940490266e+48,2.5677512123329076,54,True
cat_even,1315.8664493151366,0.009108174202307232,7.682495036924988,9.071326862474155e+47,3.7803602821747346,54,True
cat_even,1622.2616615793747,0.004120543351264026,7.682812543690783,6.2377807453009145e+47,5.6203406339853075,54,True
cat_even,2000.0000000000002,0.0018382352941176457,7.68287799070333,4.229593203707428e+47,8.414677611683956,54,True
cat_odd,200.00000000000003,2.6939655172413777,1.348350978594257,1.0878488326292495e+48,0.5246896608967732,269,True
cat_odd,246.5693478884132,1.6538488223226122,2.5924963345508107,1.9516669335882504e+48,0.482939824904043,122,True
cat_odd,303.9822165905867,0.9876733382945372,4.556680153376048,3.113664406988006e+48,0.47137773165651264,65,True
cat_odd,374.76348457207666,0.5698658736556361,6.2486319317764245,3.744429880591617e+48,0.5299332907715425,54,True
cat_odd,462.02594001663215,0.31586214339346,7.103670347509627,3.586135273549256e+48,0.6675899824791727,54,True
cat_odd,569.6071736871604,0.1676660465988845,7.41698519468967,3.020904584810831e+48,0.8967341968456863,54,True
cat_odd,702.2383468430263,0.08527290600740692,7.512312074547654,2.3651971025901918e+48,1.249417710416085,54,True
cat_odd,865.7522562166115,0.041712694135205744,7.537944779634811,1.76450148493367e+48,1.7833615700466572,54,True
cat_odd,1067.3398462412626,0.01974582646328254,7.544222135676133,1.2705998532012659e+48,2.5909265913756077,54,True
cat_odd,1315.8664493151366,0.009108174202307232,7.54565048396978,8.90974372272081e+47,3.814485720741209,54,True
cat_odd,1622.2616615793747,0.004120543351264026,7.545957580156657,6.126666325734206e+47,5.671077423436349,54,True
cat_odd,2000.0000000000002,0.0018382352941176457,7.546020881216891,4.154250356812902e+47,8.49064041415931,54,True
squeezed_cat,200.00000000000003,2.6939655172413777,1.9791203058033238,1.596753181093556e+48,0.4330797589968308,364,True
squeezed_cat,246.5693478884132,1.6538488223226122,3.8952798502527424,2.932420300655153e+48,0.39398779069454004,165,True
squeezed_cat,303.9822165905867,0.9876733382945372,6.252660778769449,4.2725595522433087e+48,0.4024027137540106,88,True
squeezed_cat,374.76348457207666,0.5698658736556361,8.05738864117023,4.828309159019416e+48,0.4666771306686009,54,True
squeezed_cat,462.02594001663215,0.31586214339346,8.95040715628477,4.518420653772744e+48,0.5947436515801798,54,True
squeezed_cat,569.6071736871604,0.1676660465988845,9.27807380438522,3.77891757340272e+48,0.8017676449163127,54,True
squeezed_cat,702.2383468430263,0.08527290600740692,9.37792742324072,2.952572596777489e+48,1.1182554785920156,54,True
squeezed_cat,865.7522562166115,0.041712694135205744,9.404792933875502,2.2014980982815017e+48,1.596582116919227,54,True
squeezed_cat,1067.3398462412626,0.01974582646328254,9.41137325874887,1.5850659307126724e+48,2.319721475048956,54,True
squeezed_cat,1315.8664493151366,0.009108174202307232,9.412870607604635,1.1114517560421962e+48,3.415256223894933,54,True
squeezed_cat,1622.2616615793747,0.004120543351264026,9.4131925421233,7.642699969204162e+47,5.077550893878004,54,True
squeezed_cat,2000.0000000000002,0.0018382352941176457,9.413258901915638,5.182205929139846e+47,7.602027704841817,54,True
opt_no_ba,200.00000000000003,2.6939655172413777,2.010823793133588,1.6223315373450277e+48,0.42965213685649895,199,True
