eta_out,kappa,theta_opt_deg,x_extent_dB,qfi_lambda
0.95,0.9,17.250000000000007,9.56042413544338,11.008274721657699
0.95,1.0,19.0,9.474557064508003,10.623838410473823
0.95,1.1,20.750000000000007,9.379749500620626,10.228989538529794
0.95,1.2000000000000002,22.250000000000004,9.2912244760112,9.828907860177962
0.95,1.3,24.000000000000007,9.17928418451115,9.428106707519952
0.95,1.4000000000000001,25.499999999999993,9.075740663258893,9.030341831118687
0.95,1.5,27.25000000000001,8.945847473047856,8.638945344413079
0.95,1.6,28.749999999999993,8.826508667669163,8.256391218304788
0.95,1.7000000000000002,30.25,8.699572607086134,7.884702362660597
0.95,1.8,31.75000000000001,8.564820112714104,7.525373449614861
0.95,1.9000000000000001,33.00000000000001,8.44638342433025,7.17951627821431
0.95,2.0,34.49999999999999,8.29666320607402,6.847766897082868
0.95,2.1,35.74999999999999,8.16537513925857,6.530554963107617
0.95,2.2,37.000000000000014,8.027970980229467,6.227967475530953
0.95,2.3000000000000003,38.250000000000014,7.88426045526525,5.939942826624356
0.95,2.4000000000000004,39.500000000000014,7.734038454091236,5.666238508364019
0.95,2.5,40.5,7.609024479062071,5.406523650445402
0.95,2.6,41.75,7.446512434425544,5.160345495754407
0.95,2.7,42.750000000000014,7.311348555417241,4.927198575536684
0.95,2.8000000000000003,43.75,7.171452452567891,4.706519779948229
0.95,2.9000000000000004,44.750000000000014,7.026675343739645,4.497753272475879
0.95,3.0,45.75000000000001,6.8768585561747395,4.3003173922426186
0.95,3.1,46.74999999999999,6.721832722290978,4.113618221870394
0.95,3.2,47.75000000000001,6.56141689166944,3.9370599618087794
0.95,3.3000000000000003,48.500000000000014,6.437451924216422,3.7701561273075765
0.95,3.4000000000000004,49.250000000000014,6.310259886185573,3.612268666107584
0.95,3.5,50.25000000000001,6.135492243156314,3.462937849897972
0.95,3.6,51.00000000000001,6.00040708930666,3.3216450449008144
0.95,3.7,51.750000000000014,5.861771135669757,3.187904204145118
0.95,3.8000000000000003,52.49999999999999,5.719475475333596,3.0612678163458895
0.95,3.9000000000000004,53.24999999999999,5.573405082337701,2.941306980630653
0.95,4.0,54.0,5.423438377961583,2.8276121988894833
0.95,4.1000000000000005,54.49999999999999,5.321232754269553,2.7198509287989614
0.95,4.2,55.25,5.164482714046812,2.61761106264169
0.95,4.3,55.74999999999999,5.057627165876037,2.5205752235875747
0.95,4.4,56.5,4.893700570963652,2.42844020393821
0.95,4.5,56.99999999999999,4.781919939030415,2.3409082730003505
0.95,4.6000000000000005,57.500000000000014,4.66808594612356,2.2576851832574056
0.95,4.7,58.250000000000014,4.493373759282138,2.1785441523722833
0.95,4.800000000000001,58.75000000000001,4.3741806021743175,2.103239302762844
0.95,4.9,59.25000000000001,4.252747763108226,2.0315332039807914
0.95,5.0,59.75,4.12901687606564,1.9632188062737161
0.9,0.0,0.0,9.955904242306783,9.42810858524273
0.9,0.1,3.0000000000000044,9.94411409571462,9.404650151159405
0.9,0.2,6.000000000000009,9.908680797150154,9.334969012518025
0.9,0.30000000000000004,9.0,9.84941444598373,9.221089441645463
0.9,0.4,11.750000000000007,9.773878569453858,9.066258504396746
0.9,0.5,14.749999999999998,9.667917346739285,8.87467948610071
0.9,0.6000000000000001,17.500000000000007,9.54869807651063,8.651248987287559
0.9,0.7000000000000001,20.25,9.407760490203835,8.401242712029847
0.9,0.8,22.749999999999996,9.260202137272378,8.130216555997297
0.9,0.9,25.250000000000007,9.093492169155933,7.843411217614238
0.9,1.0,27.750000000000004,8.906899261987638,7.545869433044832
0.9,1.1,29.999999999999993,8.721265265089881,7.242269247482425
0.9,1.2000000000000002,32.25000000000001,8.518124870407162,6.936558584036043
0.9,1.3,34.25000000000001,8.322202658773692,6.6323015339201605
0.9,1.4000000000000001,36.25000000000001,8.11115774405832,6.332301516405562
0.9,1.5,38.250000000000014,7.88426045526525,6.038882118955656
0.9,1.6,40.00000000000001,7.672077452199009,5.753923693979498
0.9,1.7000000000000002,41.75,7.446512434425544,5.478688982420539
0.9,1.8,43.25000000000001,7.242001107937273,5.214167270020802
0.9,1.9000000000000001,44.750000000000014,7.026675343739645,4.9609290930712575
0.9,2.0,46.25,6.800007796928851,4.719373806602518
0.9,2.1,47.75000000000001,6.56141689166944,4.489562066517134
0.9,2.2,49.00000000000001,6.3530213288244255,4.271397028145202
0.9,2.3000000000000003,50.25000000000001,6.135492243156314,4.064693530160918
0.9,2.4000000000000004,51.5,5.908384254242751,3.869145584339775
0.9,2.5,52.75,5.671210623773626,3.684302369752342
0.9,2.6,53.750000000000014,5.473867991383631,3.5098575964537666
0.9,2.7,54.75000000000001,5.269446759361161,3.3452264410255816
0.9,2.8000000000000003,55.74999999999999,5.057627165876037,3.189946732068367
0.9,2.9000000000000004,56.75000000000001,4.838063844755714,3.0435053714063214
0.9,3.0,57.500000000000014,4.66808594612356,2.9055055665074834
0.9,3.1,58.250000000000014,4.493373759282138,2.775324310653252
0.9,3.2,59.25000000000001,4.252747763108226,2.6526457487575055
0.9,3.3000000000000003,60.00000000000001,4.066270744438406,2.5369259234469124
0.9,3.4000000000000004,60.750000000000014,3.8744148476969893,2.4277463888887234
0.9,3.5,61.49999999999999,3.67695868559946,2.3246924460491614
0.9,3.6,62.000000000000014,3.5420939846169897,2.2274503763043403
0.9,3.7,62.750000000000014,3.3347712648336088,2.135584222048159
0.9,3.8000000000000003,63.25000000000001,3.193091762536371,2.048756445415695
0.9,3.9000000000000004,64.00000000000001,2.975169452351705,1.9666691951113024
0.9,4.0,64.50000000000001,2.82615840686673,1.8890404791231987
0.9,4.1000000000000005,65.0,2.6740564133209936,1.8155420983830037
0.9,4.2,65.5,2.518766582358823,1.745930073847596
0.9,4.3,65.99999999999999,2.360187425977057,1.6799683481807712
0.9,4.4,66.50000000000001,2.1982126084189733,1.6174295823689369
0.9,4.5,67.0,2.032730686063463,1.558095569609442
0.9,4.6000000000000005,67.5,1.8636248369456627,1.5017573496123389
0.9,4.7,68.0,1.6907725809536223,1.448215090909972
0.9,4.800000000000001,68.25,1.6029016575556247,1.3973742755198066
0.9,4.9,68.75,1.4241870547930258,1.3490042068139259
0.9,5.0,69.00000000000001,1.3333089063809276,1.3029408520343602
0.8,0.0,0.0,9.955904242306783,5.697672693651288
0.8,0.1,4.000000000000005,9.93493674994989,5.68600904285613
0.8,0.2,7.999999999999998,9.871835066515192,5.651319561807493
0.8,0.30000000000000004,12.000000000000004,9.765994068425323,5.594464684643367
0.8,0.4,15.999999999999996,9.616379605519027,5.516734262351827
0.8,0.5,19.500000000000007,9.44838949601519,5.419925278118365
0.8,0.6000000000000001,23.250000000000004,9.228414071890125,5.306116619111951
0.8,0.7000000000000001,26.500000000000007,9.002731280096333,5.177659721211634
0.8,0.8,29.750000000000007,8.742741897097343,5.036919079904633
0.8,0.9,32.75,8.470525323854773,4.8863932988725205
0.8,1.0,35.50000000000001,8.192116198631119,4.728483010197959
0.8,1.1,38.0,7.913516690979375,4.565388778458359
0.8,1.2000000000000002,40.5,7.609024479062071,4.399226741195853
0.8,1.3,42.750000000000014,7.311348555417241,4.231793102379573
0.8,1.4000000000000001,45.0,6.989700043360188,4.064703325502989
0.8,1.5,47.0,6.682241413317015,3.8993327783768303
0.8,1.6,48.74999999999999,6.395417549030299,3.736872740712356
0.8,1.7000000000000002,50.500000000000014,6.090851908743819,3.5781297865752504
0.8,1.8,52.0,5.814751433345058,3.4238808177086746
0.8,1.9000000000000001,53.50000000000001,5.523855305855373,3.274647192663349
0.8,2.0,55.000000000000014,5.217198491703194,3.1307927911708915
0.8,2.1,56.250000000000014,4.948836125904577,2.9926218841654264
0.8,2.2,57.500000000000014,4.66808594612356,2.8602073132791896
0.8,2.3000000000000003,58.5,4.434053587375859,2.7335996266700673
0.8,2.4000000000000004,59.75,4.12901687606564,2.612847282109007
0.8,2.5,60.750000000000014,3.8744148476969893,2.497808880814832
0.8,2.6,61.75,3.6098550848600253,2.3883060988821416
0.8,2.7,62.50000000000001,3.404561727721508,2.2843550684706866
0.8,2.8000000000000003,63.25000000000001,3.193091762536371,2.1855012608821927
0.8,2.9000000000000004,64.25,2.9010444155869495,2.091790055715968
0.8,3.0,65.0,2.6740564133209936,2.0028676606735734
0.8,3.1,65.75,2.43989469921534,1.91850137018955
0.8,3.2,66.25,2.2796313172346943,1.838612116349554
0.8,3.3000000000000003,67.0,2.032730686063463,1.7628288756258188
0.8,3.4000000000000004,67.5,1.8636248369456627,1.690972605311487
0.8,3.5,68.25,1.6029016575556247,1.622806125016041
0.8,3.6,68.75,1.4241870547930258,1.5582649695674475
0.8,3.7,69.24999999999999,1.2413931907036342,1.4970172823148986
0.8,3.8000000000000003,69.75000000000001,1.0543754892986306,1.4389001283375942
0.8,3.9000000000000004,70.25,0.8629824029757103,1.38373739103268
0.8,4.0,70.75,0.6670551336037038,1.3313439486617604
0.8,4.1000000000000005,71.00000000000001,0.5673395090372805,1.2816177460270912
0.8,4.2,71.5,0.3642967289826007,1.2344306027874052
0.8,4.3,72.0,0.15628943383488622,1.1894900007016402
0.8,4.4,72.25000000000001,0.050366293505642395,1.146820241638545
0.8,4.5,72.75,-0.16543897461932872,1.1061808654731347
0.8,4.6000000000000005,73.00000000000001,-0.2753706134434507,1.067554064298062
0.8,4.7,73.25,-0.3866887620334626,1.0306643172395087
0.8,4.800000000000001,73.74999999999999,-0.6135890514545976,0.9956528493273631
0.8,4.9,74.0,-0.7292246135206353,0.9622384636373881
0.8,5.0,74.25000000000001,-0.8463534973379706,0.9303324701020081
0.5,0.0,0.0,9.955904242306783,1.8164965809277263
0.5,0.1,5.250000000000004,9.919763853246677,1.8149822561469087
0.5,0.2,10.249999999999998,9.817614449941782,1.8104606208847376
0.5,0.30000000000000004,15.250000000000005,9.647829005038183,1.8029742346124629
0.5,0.4,20.000000000000004,9.421487918507584,1.7925946037351796
