config,state,nbar,qfi_epsilon_a,cutoff,converged
"BA kappa=1, detection eta=0.9",opt_no_ba,4.0,14.426545805965457,268,True
"BA kappa=1, detection eta=0.9",opt_no_ba,6.0,15.3688074034308,377,True
"BA kappa=2, detection eta=0.9",coherent,0.25,2.647058796891934,92,True
"BA kappa=2, detection eta=0.9",coherent,0.5,2.647058796845631,110,True
"BA kappa=2, detection eta=0.9",coherent,1.0,2.647058796874566,146,True
"BA kappa=2, detection eta=0.9",coherent,2.0,2.6470587968816406,219,True
"BA kappa=2, detection eta=0.9",coherent,4.0,2.6470587968794357,365,True
"BA kappa=2, detection eta=0.9",coherent,6.0,2.64705879693801,511,True
"BA kappa=2, detection eta=0.9",squeezed,0.25,4.3505355961120005,125,True
"BA kappa=2, detection eta=0.9",squeezed,0.5,4.934279801676419,202,True
"BA kappa=2, detection eta=0.9",squeezed,1.0,5.564720038441016,268,True
"BA kappa=2, detection eta=0.9",squeezed,2.0,6.138331589099705,400,True
"BA kappa=2, detection eta=0.9",squeezed,4.0,6.573017333415149,493,True
"BA kappa=2, detection eta=0.9",squeezed,6.0,6.75468426139287,700,True
"BA kappa=2, detection eta=0.9",fock,0.25,2.647058796890404,92,True
"BA kappa=2, detection eta=0.9",fock,0.5,2.647058796887598,110,True
"BA kappa=2, detection eta=0.9",fock,1.0,4.478315904382084,146,True
"BA kappa=2, detection eta=0.9",fock,2.0,5.728020182322386,219,True
"BA kappa=2, detection eta=0.9",fock,4.0,7.723700448986574,365,True
"BA kappa=2, detection eta=0.9",fock,6.0,9.302196534170923,511,True
"BA kappa=2, detection eta=0.9",cat_even,0.25,4.2573918439913365,92,True
"BA kappa=2, detection eta=0.9",cat_even,0.5,4.668243814367199,110,True
"BA kappa=2, detection eta=0.9",cat_even,1.0,4.778173867736029,146,True
"BA kappa=2, detection eta=0.9",cat_even,2.0,4.0908837344041,219,True
"BA kappa=2, detection eta=0.9",cat_even,4.0,3.0128514201055636,365,True
"BA kappa=2, detection eta=0.9",cat_even,6.0,2.723540884379936,511,True
"BA kappa=2, detection eta=0.9",cat_odd,1.0,4.478315904382643,146,True
"BA kappa=2, detection eta=0.9",cat_odd,2.0,4.027498096026075,219,True
"BA kappa=2, detection eta=0.9",cat_odd,4.0,3.0076105462191047,365,True
"BA kappa=2, detection eta=0.9",cat_odd,6.0,2.7234257297501845,511,True
"BA kappa=2, detection eta=0.9",squeezed_cat,0.25,4.349846600228563,125,True
"BA kappa=2, detection eta=0.9",squeezed_cat,0.5,4.93236065217213,202,True
"BA kappa=2, detection eta=0.9",squeezed_cat,1.0,5.560088327233052,268,True
"BA kappa=2, detection eta=0.9",squeezed_cat,2.0,6.130134942588951,296,True
"BA kappa=2, detection eta=0.9",squeezed_cat,4.0,6.563053580948399,493,True
"BA kappa=2, detection eta=0.9",squeezed_cat,6.0,6.74519968813861,511,True
"BA kappa=2, detection eta=0.9",opt_no_ba,0.25,4.350535596112001,125,True
"BA kappa=2, detection eta=0.9",opt_no_ba,0.5,4.934279801676393,202,True
"BA kappa=2, detection eta=0.9",opt_no_ba,1.0,5.564720038440079,268,True
"BA kappa=2, detection eta=0.9",opt_no_ba,2.0,6.138331589099624,400,True
"BA kappa=2, detection eta=0.9",opt_no_ba,4.0,6.573017333415087,493,True
"BA kappa=2, detection eta=0.9",opt_no_ba,6.0,6.754684261389669,700,True
