state,ordering,loss_placement,f_hz,kappa,qfi_epsilon_a,sigma_h,sigma_h_over_hsql,method,cutoff,converged
squeezed,BA2,concurrent,121.15276586285876,81.65466420304968,12.753605243440129,1.3237789192235512e-25,0.04382359628473797,gaussian,0,True
squeezed,BA2,concurrent,146.7799267622069,39.37455562134677,12.753605243440129,1.5734929207730157e-25,0.06310891010701046,gaussian,0,True
squeezed,BA2,concurrent,177.82794100389228,18.773411876910597,12.753605243440129,1.8809085841868167e-25,0.09139594096226288,gaussian,0,True
squeezed,BA2,concurrent,215.44346900318823,8.87845779448332,12.753605243440129,2.2575490347384514e-25,0.13290145799617198,gaussian,0,True
squeezed,BA2,concurrent,261.0157215682536,4.174744780956828,12.753605243440129,2.717425589872957e-25,0.19381328715680093,gaussian,0,True
squeezed,BA2,concurrent,316.2277660168379,1.9551114949784008,12.753605243440129,3.2775817152725953e-25,0.2832127154796058,gaussian,0,True
squeezed,BA2,concurrent,383.1186849557285,0.9130574356463572,12.753605243440129,3.9587393733986483e-25,0.4144283568020273,gaussian,0,True
squeezed,BA2,concurrent,464.15888336127773,0.425584997186887,12.753605243440129,4.78607468327835e-25,0.607023295020838,gaussian,0,True
squeezed,BA2,concurrent,562.341325190349,0.19810633841316985,12.753605243440129,5.7901538992816535e-25,0.8897117521064974,gaussian,0,True
squeezed,BA2,concurrent,681.2920690579608,0.09213307477274686,12.753605243440129,7.008065895750064e-25,1.304640121052008,gaussian,0,True
squeezed,BA2,concurrent,825.4041852680182,0.04282157580077135,12.753605243440129,8.484794017632596e-25,1.9136706237687107,gaussian,0,True
squeezed,BA2,concurrent,1000.0,0.019894140793964385,12.753605243440129,1.0274878595856135e-24,2.8076044304744423,gaussian,0,True
squeezed,BA2,detection,10.0,97079.71751816789,1.7405837518071307e-09,3.981475644013852e-21,108.79358382363405,gaussian,0,True
squeezed,BA2,detection,12.115276586285882,64666.33333740737,3.922793614894882e-09,2.682165650608698e-21,88.79288145033333,gaussian,0,True
squeezed,BA2,detection,14.677992676220699,42661.77822750102,9.013096589642094e-09,1.7981777589296125e-21,72.12046336310445,gaussian,0,True
squeezed,BA2,detection,17.78279410038923,27774.396025481048,2.126486769306836e-08,1.1975733517485807e-21,58.191740031700206,gaussian,0,True
squeezed,BA2,detection,21.544346900318832,17764.537446089365,5.1980939365083004e-08,7.905392381996747e-22,46.53888608540992,gaussian,0,True
squeezed,BA2,detection,26.10157215682536,11105.35318349556,1.330108834642985e-07,5.159164014302933e-22,36.79639068387059,gaussian,0,True
squeezed,BA2,detection,31.622776601683793,6749.487979912539,3.600893383840707e-07,3.3198253153405434e-22,28.68629447419701,gaussian,0,True
squeezed,BA2,detection,38.311868495572874,3969.586460544283,1.0410254865966828e-06,2.101450335851791e-22,21.99944293984787,gaussian,0,True
squeezed,BA2,detection,46.41588833612777,2252.376878641662,3.2334763499023553e-06,1.306573172051138e-22,16.571416130536456,gaussian,0,True
squeezed,BA2,detection,56.23413251903491,1232.2002252896486,1.0804108914631666e-05,7.976652253334493e-23,12.25687844521532,gaussian,0,True
squeezed,BA2,detection,68.12920690579611,651.1800343107965,3.8685508176099555e-05,4.786276163017445e-23,8.910258558633451,gaussian,0,True
squeezed,BA2,detection,82.54041852680182,333.75582333615046,0.00014726129549653939,2.828331932609763e-23,6.379053778387973,gaussian,0,True
squeezed,BA2,detection,100.0,166.75783567172073,0.0005898708731000848,1.6501908587284707e-23,4.509136650979998,gaussian,0,True
squeezed,BA2,detection,121.15276586285876,81.65466420304968,0.002459779527507578,9.531996071152063e-24,3.1555597505275994,gaussian,0,True
squeezed,BA2,detection,146.7799267622069,39.37455562134677,0.010571035627785458,5.465407019417423e-24,2.19203960649019,gaussian,0,True
squeezed,BA2,detection,177.82794100389228,18.773411876910597,0.04635485819874941,3.1198703390247444e-24,1.5159880055451933,gaussian,0,True
squeezed,BA2,detection,215.44346900318823,8.87845779448332,0.20437007704275212,1.7833846446890165e-24,1.0498749564242122,gaussian,0,True
squeezed,BA2,detection,261.0157215682536,4.174744780956828,0.8694111979805447,1.0407862143853538e-24,0.742313600744957,gaussian,0,True
squeezed,BA2,detection,316.2277660168379,1.9551114949784008,3.1174594842348156,6.629329483200775e-25,0.5728340489567784,gaussian,0,True
squeezed,BA2,detection,383.1186849557285,0.9130574356463572,7.216243652924365,5.262811336178698e-25,0.5509476751279896,gaussian,0,True
squeezed,BA2,detection,464.15888336127773,0.425584997186887,10.121822130001174,5.372378541292333e-25,0.6813848801040223,gaussian,0,True
squeezed,BA2,detection,562.341325190349,0.19810633841316985,11.092920042458385,6.208456621703829e-25,0.9539879103141963,gaussian,0,True
squeezed,BA2,detection,681.2920690579608,0.09213307477274686,11.328544718043545,7.435798291460901e-25,1.3842679174824704,gaussian,0,True
squeezed,BA2,detection,825.4041852680182,0.04282157580077135,11.380848475691431,8.981946587539196e-25,2.0257990109262853,gaussian,0,True
squeezed,BA2,detection,1000.0,0.019894140793964385,11.392213298679486,1.087149149437838e-24,2.9706285481360175,gaussian,0,True
squeezed,BA3,injection,10.0,97079.71751816789,14.24418173412822,4.401216910126141e-26,0.0012026298881363648,gaussian,0,True
squeezed,BA3,injection,12.115276586285882,64666.33333740737,14.24418173412822,4.451071526740444e-26,0.0014735237039186053,gaussian,0,True
squeezed,BA3,injection,14.677992676220699,42661.77822750102,14.24418173412822,4.523253015081387e-26,0.0018141649330064835,gaussian,0,True
squeezed,BA3,injection,17.78279410038923,27774.396025481048,14.24418173412822,4.6271620890297874e-26,0.0022484018450828836,gaussian,0,True
squeezed,BA3,injection,21.544346900318832,17764.537446089365,14.24418173412822,4.775586762066641e-26,0.0028113783297708354,gaussian,0,True
squeezed,BA3,injection,26.10157215682536,11105.35318349556,14.24418173412822,4.9854477700782674e-26,0.0035557404915458435,gaussian,0,True
squeezed,BA3,injection,31.622776601683793,6749.487979912539,14.24418173412822,5.278391644959031e-26,0.0045610079656225435,gaussian,0,True
squeezed,BA3,injection,38.311868495572874,3969.586460544283,14.24418173412822,5.681082011321902e-26,0.0059473515701247036,gaussian,0,True
squeezed,BA3,injection,46.41588833612777,2252.376878641662,14.24418173412822,6.225150105997348e-26,0.007895428674659609,gaussian,0,True
squeezed,BA3,injection,56.23413251903491,1232.2002252896486,14.24418173412822,6.946985349006813e-26,0.010674698141425623,gaussian,0,True
squeezed,BA3,injection,68.12920690579611,651.1800343107965,14.24418173412822,7.887750292575935e-26,0.014684044998456576,gaussian,0,True
squeezed,BA3,injection,82.54041852680182,333.75582333615046,14.24418173412822,9.094020570658171e-26,0.020510763115581955,gaussian,0,True
squeezed,BA3,injection,100.0,166.75783567172073,14.24418173412822,1.0619251340537307e-25,0.02901704076974542,gaussian,0,True
squeezed,BA3,injection,121.15276586285876,81.65466420304968,14.24418173412822,1.2526022658905871e-25,0.041467298812957624,gaussian,0,True
squeezed,BA3,injection,146.7799267622069,39.37455562134677,14.24418173412822,1.4888897000105758e-25,0.05971568412971317,gaussian,0,True
squeezed,BA3,injection,177.82794100389228,18.773411876910597,14.24418173412822,1.779776305750032e-25,0.08648178414087561,gaussian,0,True
squeezed,BA3,injection,215.44346900318823,8.87845779448332,14.24418173412822,2.136165635521009e-25,0.12575564167754727,gaussian,0,True
squeezed,BA3,injection,261.0157215682536,4.174744780956828,14.24418173412822,2.571315649338506e-25,0.18339237702524122,gaussian,0,True
squeezed,BA3,injection,316.2277660168379,1.9551114949784008,14.24418173412822,3.1013534235762358e-25,0.26798499657847474,gaussian,0,True
squeezed,BA3,injection,383.1186849557285,0.9130574356463572,14.24418173412822,3.7458867467823998e-25,0.3921454642018419,gaussian,0,True
squeezed,BA3,injection,464.15888336127773,0.425584997186887,14.24418173412822,4.528738073962054e-25,0.5743850002064185,gaussian,0,True
squeezed,BA3,injection,562.341325190349,0.19810633841316985,14.24418173412822,5.4788301798531805e-25,0.8418739266007915,gaussian,0,True
squeezed,BA3,injection,681.2920690579608,0.09213307477274686,14.24418173412822,6.631257752371452e-25,1.2344925184033262,gaussian,0,True
squeezed,BA3,injection,825.4041852680182,0.04282157580077135,14.24418173412822,8.028585481883389e-25,1.8107768032043563,gaussian,0,True
squeezed,BA3,injection,1000.0,0.019894140793964385,14.24418173412822,9.722421186816489e-25,2.6566457739027047,gaussian,0,True
squeezed,BA3,concurrent,10.0,97079.71751816789,5.500627812306273e-09,2.2396770289184527e-21,61.19904085055847,gaussian,0,True
squeezed,BA3,concurrent,12.115276586285882,64666.33333740737,1.2396891347566707e-08,1.5087835098283494e-21,49.94815860534308,gaussian,0,True
squeezed,BA3,concurrent,14.677992676220699,42661.77822750102,2.8483369252881524e-08,1.011518789267335e-21,40.56951734620036,gaussian,0,True
squeezed,BA3,concurrent,17.78279410038923,27774.396025481048,6.720166275858996e-08,6.736641814145337e-22,32.734271229653,gaussian,0,True
squeezed,BA3,concurrent,21.544346900318832,17764.537446089365,1.642712096936415e-07,4.446975789075492e-22,26.179257103502167,gaussian,0,True
squeezed,BA3,concurrent,26.10157215682536,11105.35318349556,4.203436627472162e-07,2.902155453343303e-22,20.698866248580437,gaussian,0,True
squeezed,BA3,concurrent,31.622776601683793,6749.487979912539,1.1379615108913585e-06,1.867482656379317e-22,16.136739833510635,gaussian,0,True
squeezed,BA3,concurrent,38.311868495572874,3969.586460544283,3.2898691525407454e-06,1.1821170984933733e-22,12.375223536264247,gaussian,0,True
squeezed,BA3,concurrent,46.41588833612777,2252.376878641662,1.0218491769442484e-05,7.349794243179418e-23,9.321827623809527,gaussian,0,True
squeezed,BA3,concurrent,56.23413251903491,1232.2002252896486,3.4143303464939126e-05,4.4870650630670794e-23,6.894798633197899,gaussian,0,True
squeezed,BA3,concurrent,68.12920690579611,651.1800343107965,0.0001222539648739544,2.6924052578460643e-23,5.012252986444561,gaussian,0,True
squeezed,BA3,concurrent,82.54041852680182,333.75582333615046,0.0004653671433842329,1.5910243507252932e-23,3.588415411566116,gaussian,0,True
squeezed,BA3,concurrent,100.0,166.75783567172073,0.0018639458517437086,9.283163660621922e-24,2.536618917608706,gaussian,0,True
squeezed,BA3,concurrent,121.15276586285876,81.65466420304968,0.007770385960285373,5.363035237174515e-24,1.7754285680316833,gaussian,0,True
squeezed,BA3,concurrent,146.7799267622069,39.37455562134677,0.03335037950629947,3.077024033469928e-24,1.2341182509417656,gaussian,0,True
squeezed,BA3,concurrent,177.82794100389228,18.773411876910597,0.14541282423812477,1.761500695274426e-24,0.855937470347023,gaussian,0,True
squeezed,BA3,concurrent,215.44346900318823,8.87845779448332,0.6253998493806101,1.0194708000740184e-24,0.6001604112668061,gaussian,0,True
squeezed,BA3,concurrent,261.0157215682536,4.174744780956828,2.4119418595718916,6.248715163405456e-25,0.4456732985953729,gaussian,0,True
squeezed,BA3,concurrent,316.2277660168379,1.9551114949784008,6.572711115369096,4.565598754290057e-25,0.3945090415191224,gaussian,0,True
squeezed,BA3,concurrent,383.1186849557285,0.9130574356463572,10.58305040925888,4.345782266283315e-25,0.45494669735961446,gaussian,0,True
squeezed,BA3,concurrent,464.15888336127773,0.425584997186887,12.209558420475513,4.891544150177268e-25,0.6204001074522768,gaussian,0,True
squeezed,BA3,concurrent,562.341325190349,0.19810633841316985,12.631644423397802,5.818039244972459e-25,0.8939965984515558,gaussian,0,True
squeezed,BA3,concurrent,681.2920690579608,0.09213307477274686,12.727027273431007,7.015379584186185e-25,1.3060016566751853,gaussian,0,True
squeezed,BA3,concurrent,825.4041852680182,0.04282157580077135,12.747854472244924,8.486707618365194e-25,1.914102219574099,gaussian,0,True
squeezed,BA3,concurrent,1000.0,0.019894140793964385,12.752363577516537,1.0275378803366932e-24,2.807741111877572,gaussian,0,True
squeezed,BA3,detection,10.0,97079.71751816789,1.7405837518071307e-09,3.981475644013852e-21,108.79358382363405,gaussian,0,True
squeezed,BA3,detection,12.115276586285882,64666.33333740737,3.922793614894882e-09,2.682165650608698e-21,88.79288145033333,gaussian,0,True
squeezed,BA3,detection,14.677992676220699,42661.77822750102,9.013096589642094e-09,1.7981777589296125e-21,72.12046336310445,gaussian,0,True
squeezed,BA3,detection,17.78279410038923,27774.396025481048,2.126486769306836e-08,1.1975733517485807e-21,58.191740031700206,gaussian,0,True
squeezed,BA3,detection,21.544346900318832,17764.537446089365,5.1980939365083004e-08,7.905392381996747e-22,46.53888608540992,gaussian,0,True
squeezed,BA3,detection,26.10157215682536,11105.35318349556,1.330108834642985e-07,5.159164014302933e-22,36.79639068387059,gaussian,0,True
squeezed,BA3,detection,31.622776601683793,6749.487979912539,3.600893383840707e-07,3.3198253153405434e-22,28.68629447419701,gaussian,0,True
squeezed,BA3,detection,38.311868495572874,3969.586460544283,1.0410254865966828e-06,2.101450335851791e-22,21.99944293984787,gaussian,0,True
