state,ordering,loss_placement,kappa,qfi_epsilon_a,cutoff,converged
fock,BA2,injection,0.0,9.404444438314657,73,True
fock,BA2,injection,0.25,9.40444443831468,73,True
fock,BA2,injection,0.5,9.404444438314675,73,True
fock,BA2,injection,1.0,9.404444438314647,88,True
fock,BA2,injection,1.5,9.404444438314679,144,True
fock,BA2,injection,2.0,9.404444438314687,219,True
fock,BA2,injection,3.0,9.404444438314691,438,True
fock,BA2,concurrent,0.0,8.42032025054198,73,True
fock,BA2,concurrent,0.25,8.420320250541966,73,True
fock,BA2,concurrent,0.5,8.420320250541964,73,True
fock,BA2,concurrent,1.0,8.420320250541684,88,True
fock,BA2,concurrent,1.5,8.42032025054168,144,True
fock,BA2,concurrent,2.0,8.420320250541673,219,True
fock,BA2,concurrent,3.0,8.420320250541929,340,True
fock,BA2,detection,0.0,7.523555551632503,73,True
fock,BA2,detection,0.25,7.395513986687885,73,True
fock,BA2,detection,0.5,7.043029147740183,73,True
fock,BA2,detection,1.0,5.964043955165937,88,True
fock,BA2,detection,1.5,4.793515818540344,144,True
fock,BA2,detection,2.0,3.762625624147433,219,True
fock,BA2,detection,3.0,2.33020374955397,438,True
fock,BA3,injection,0.0,9.404444438314657,73,True
fock,BA3,injection,0.25,9.40444443830497,73,True
fock,BA3,injection,0.5,9.404444438308218,73,True
fock,BA3,injection,1.0,9.404444438293435,88,True
fock,BA3,injection,1.5,9.404444438300445,144,True
fock,BA3,injection,2.0,9.404444438330431,219,True
fock,BA3,injection,3.0,9.404444438325106,438,True
fock,BA3,concurrent,0.0,8.420320250541973,73,True
fock,BA3,concurrent,0.25,8.346058718390617,73,True
fock,BA3,concurrent,0.5,8.13143535668128,73,True
fock,BA3,concurrent,1.0,7.378736007722667,88,True
fock,BA3,concurrent,1.5,6.40581229492461,144,True
fock,BA3,concurrent,2.0,5.422842360774166,219,True
fock,BA3,concurrent,3.0,3.7887236635726893,340,True
fock,BA3,detection,0.0,7.523555551632503,73,True
fock,BA3,detection,0.25,7.3955139866872495,73,True
fock,BA3,detection,0.5,7.043029147730555,73,True
fock,BA3,detection,1.0,5.964043955156685,88,True
fock,BA3,detection,1.5,4.7935158185303886,144,True
fock,BA3,detection,2.0,3.762625624168584,219,True
fock,BA3,detection,3.0,2.3302037495617505,438,True
coherent,BA1,injection,0.0,3.9999999992000017,73,True
coherent,BA1,injection,0.25,3.999999999208786,73,True
coherent,BA1,injection,0.5,3.9999999991910253,73,True
coherent,BA1,injection,1.0,3.9999999991953614,88,True
coherent,BA1,injection,1.5,3.9999999991986033,144,True
coherent,BA1,injection,2.0,3.999999999204587,219,True
coherent,BA1,injection,3.0,3.9999999992028217,438,True
coherent,BA1,concurrent,0.0,3.5814216581065828,73,True
coherent,BA1,concurrent,0.25,3.5459620374374494,73,True
coherent,BA1,concurrent,0.5,3.4436745142374052,73,True
coherent,BA1,concurrent,1.0,3.0874324098708383,88,True
coherent,BA1,concurrent,1.5,2.6333982522768125,144,True
coherent,BA1,concurrent,2.0,2.183793568824518,219,True
coherent,BA1,concurrent,3.0,1.4677957172013627,340,True
coherent,BA1,detection,0.0,3.1999999994880044,73,True
coherent,BA1,detection,0.25,3.168316831095301,73,True
coherent,BA1,detection,0.5,3.07692293582787,73,True
coherent,BA1,detection,1.0,2.7586206409526706,88,True
coherent,BA1,detection,1.5,2.352941152761935,144,True
coherent,BA1,detection,2.0,1.9512193999645837,219,True
coherent,BA1,detection,3.0,1.3114753699941915,438,True
coherent,BA2,injection,0.0,3.9999999992000017,73,True
coherent,BA2,injection,0.25,3.9999999991966244,73,True
coherent,BA2,injection,0.5,3.9999999992089794,73,True
coherent,BA2,injection,1.0,3.999999999190245,88,True
coherent,BA2,injection,1.5,3.9999999991997672,144,True
coherent,BA2,injection,2.0,3.9999999992063553,219,True
coherent,BA2,injection,3.0,3.9999999992012234,438,True
coherent,BA2,concurrent,0.0,3.5814216581065854,73,True
coherent,BA2,concurrent,0.25,3.581421658113703,73,True
coherent,BA2,concurrent,0.5,3.5814216581049156,73,True
coherent,BA2,concurrent,1.0,3.5814216581094724,88,True
coherent,BA2,concurrent,1.5,3.5814216581038893,144,True
coherent,BA2,concurrent,2.0,3.5814216581032268,219,True
coherent,BA2,concurrent,3.0,3.5814216581064144,340,True
coherent,BA2,detection,0.0,3.1999999994880044,73,True
coherent,BA2,detection,0.25,3.1683168310865972,73,True
coherent,BA2,detection,0.5,3.076922935819801,73,True
coherent,BA2,detection,1.0,2.758620640942002,88,True
coherent,BA2,detection,1.5,2.3529411527603,144,True
coherent,BA2,detection,2.0,1.9512193999626823,219,True
coherent,BA2,detection,3.0,1.311475369992733,438,True
coherent,BA3,injection,0.0,3.9999999992000017,73,True
coherent,BA3,injection,0.25,3.999999999233393,73,True
coherent,BA3,injection,0.5,3.9999999991857873,73,True
coherent,BA3,injection,1.0,3.999999999186113,88,True
coherent,BA3,injection,1.5,3.99999999916505,144,True
coherent,BA3,injection,2.0,3.999999999254704,219,True
coherent,BA3,injection,3.0,3.999999999225263,438,True
coherent,BA3,concurrent,0.0,3.581421658106582,73,True
coherent,BA3,concurrent,0.25,3.5681185262083632,73,True
coherent,BA3,concurrent,0.5,3.528795606684484,73,True
coherent,BA3,concurrent,1.0,3.3798052149422366,88,True
coherent,BA3,concurrent,1.5,3.1576079503538903,144,True
coherent,BA3,concurrent,2.0,2.8914773213427134,219,True
coherent,BA3,concurrent,3.0,2.3303204802312054,340,True
coherent,BA3,detection,0.0,3.1999999994880044,73,True
coherent,BA3,detection,0.25,3.1683168310817487,73,True
coherent,BA3,detection,0.5,3.07692293586918,73,True
coherent,BA3,detection,1.0,2.7586206409345424,88,True
coherent,BA3,detection,1.5,2.3529411527803568,144,True
coherent,BA3,detection,2.0,1.9512193999935228,219,True
coherent,BA3,detection,3.0,1.3114753699928594,438,True
