freq_hz,K,n_target,state,placement,eta,qfi,eps_min,n_actual,theta,split,method
113.8,0.06919822466101729,2.0,coherent,inj,0.9,4.000000000000001,0.5,2.0,,,gaussian
113.8,0.06919822466101729,2.0,coherent,conc,0.9,3.795036165335889,0.5133245564222473,2.0,,,gaussian
113.8,0.06919822466101729,2.0,sqz_vac,none,1.0,39.59591794226543,0.1589186225978911,2.0,0.0,,gaussian
113.8,0.06919822466101729,2.0,sqz_vac,det,0.9,18.833690079434273,0.23042642940318742,2.0,0.06981317007977318,,gaussian
113.8,0.06919822466101729,2.0,sqz_vac,det,0.7,7.547313995743828,0.36400201745399885,2.0,0.10471975511965978,,gaussian
113.8,0.06919822466101729,2.0,sqz_vac,inj,0.9,20.951352411650515,0.21847108675421986,2.0,0.0,,gaussian
113.8,0.06919822466101729,2.0,sqz_vac,conc,0.9,19.870482147222248,0.2243343601831048,2.0,0.03490658503988659,,gaussian
113.8,0.06919822466101729,2.0,cat,none,1.0,36.5227050625893,0.16546971996344034,1.9999999999999982,,,fock(N=91)
113.8,0.06919822466101729,2.0,cat,det,0.9,15.319811810851677,0.2554896343615118,1.9999999999999982,,,fock(N=91)
113.8,0.06919822466101729,2.0,cat,det,0.7,4.355037215380009,0.4791859377604099,1.9999999999999982,,,fock(N=91)
113.8,0.06919822466101729,2.0,cat,inj,0.9,17.073098333013267,0.24201586093545216,1.9999999999999982,,,fock(N=91)
113.8,0.06919822466101729,2.0,cat,conc,0.9,16.183150634538528,0.2485813038853078,1.9999999999999982,,,fock(N=91)
113.8,0.06919822466101729,2.0,sqz_cat,none,1.0,39.59572655980675,0.15891900665701333,1.9999999999999993,0.0,0.75,fock(N=93)
113.8,0.06919822466101729,2.0,sqz_cat,det,0.9,18.83246586194183,0.23043391879632946,1.9999999999999998,0.06981317007977318,0.75,fock(N=93)
113.8,0.06919822466101729,2.0,sqz_cat,det,0.7,7.546702903911469,0.3640167546286212,2.0000000000000004,0.10471975511965978,0.75,fock(N=93)
113.8,0.06919822466101729,2.0,sqz_cat,inj,0.9,20.95013541824061,0.2184774321550115,1.9999999999999993,0.0,0.75,fock(N=93)
113.8,0.06919822466101729,2.0,sqz_cat,conc,0.9,19.869283109427517,0.22434112895571445,2.000000000000001,0.03490658503988659,0.75,fock(N=93)
113.8,0.06919822466101729,2.0,fock,none,1.0,19.999999984800006,0.22360679783494952,2.0,,,fock(N=79)
113.8,0.06919822466101729,2.0,fock,det,0.9,12.164999069362084,0.2867107389010277,2.0,,,fock(N=79)
113.8,0.06919822466101729,2.0,fock,det,0.7,4.740791994777626,0.4592768440660865,2.0,,,fock(N=79)
113.8,0.06919822466101729,2.0,fock,inj,0.9,13.535693771251822,0.2718064383665397,2.0,,,fock(N=79)
113.8,0.06919822466101729,2.0,fock,conc,0.9,12.83702248784052,0.2791051493001206,2.0,,,fock(N=79)
175.8,0.026765648747457786,2.0,coherent,none,1.0,4.0,0.5,2.0,,,gaussian
175.8,0.026765648747457786,2.0,coherent,det,0.9,3.599767901380058,0.5270632673376126,2.0,,,gaussian
175.8,0.026765648747457786,2.0,coherent,det,0.7,2.799578820191682,0.5976592567168374,2.0,,,gaussian
175.8,0.026765648747457786,2.0,coherent,inj,0.9,4.0,0.5,2.0,,,gaussian
175.8,0.026765648747457786,2.0,coherent,conc,0.9,3.795524877823398,0.5132915074758011,2.0,,,gaussian
175.8,0.026765648747457786,2.0,sqz_vac,none,1.0,39.59591794226543,0.1589186225978911,2.0,0.0,,gaussian
175.8,0.026765648747457786,2.0,sqz_vac,det,0.9,18.852630490953874,0.23031065064955064,2.0,0.03490658503988659,,gaussian
175.8,0.026765648747457786,2.0,sqz_vac,det,0.7,7.552023153328157,0.36388851077317325,2.0,0.03490658503988659,,gaussian
175.8,0.026765648747457786,2.0,sqz_vac,inj,0.9,20.951352411650515,0.21847108675421986,2.0,0.0,,gaussian
175.8,0.026765648747457786,2.0,sqz_vac,conc,0.9,19.87920499212477,0.22428513667192712,2.0,0.017453292519943295,,gaussian
175.8,0.026765648747457786,2.0,cat,none,1.0,36.52270506258928,0.1654697199634404,1.9999999999999982,,,fock(N=91)
175.8,0.026765648747457786,2.0,cat,det,0.9,15.358895773728602,0.2551643535531565,1.9999999999999982,,,fock(N=91)
175.8,0.026765648747457786,2.0,cat,det,0.7,4.36571716214901,0.4785994574841697,1.9999999999999982,,,fock(N=91)
175.8,0.026765648747457786,2.0,cat,inj,0.9,17.07309833301327,0.2420158609354521,1.9999999999999982,,,fock(N=91)
175.8,0.026765648747457786,2.0,cat,conc,0.9,16.19808039785795,0.2484667188387324,1.9999999999999982,,,fock(N=91)
175.8,0.026765648747457786,2.0,sqz_cat,none,1.0,39.59572655980679,0.15891900665701325,1.9999999999999993,0.0,0.75,fock(N=93)
175.8,0.026765648747457786,2.0,sqz_cat,det,0.9,18.851627476976233,0.23031677748739188,2.000000000000001,0.03490658503988659,0.75,fock(N=93)
175.8,0.026765648747457786,2.0,sqz_cat,det,0.7,7.551527913618015,0.3639004427350304,2.000000000000001,0.03490658503988659,0.75,fock(N=93)
175.8,0.026765648747457786,2.0,sqz_cat,inj,0.9,20.95013541824064,0.2184774321550113,1.9999999999999993,0.0,0.75,fock(N=93)
175.8,0.026765648747457786,2.0,sqz_cat,conc,0.9,19.87807253083238,0.2242915253853678,2.0000000000000004,0.017453292519943295,0.75,fock(N=93)
175.8,0.026765648747457786,2.0,fock,none,1.0,19.99999998479999,0.2236067978349496,2.0,,,fock(N=79)
175.8,0.026765648747457786,2.0,fock,det,0.9,12.179559183005466,0.2865393127745326,2.0,,,fock(N=79)
175.8,0.026765648747457786,2.0,fock,det,0.7,4.743550782451792,0.4591432699111211,2.0,,,fock(N=79)
175.8,0.026765648747457786,2.0,fock,inj,0.9,13.535693771251813,0.2718064383665398,2.0,,,fock(N=79)
175.8,0.026765648747457786,2.0,fock,conc,0.9,12.843003783188344,0.27904014874512406,2.0,,,fock(N=79)
271.4,0.009491822525629835,2.0,coherent,none,1.0,4.0,0.5,2.0,,,gaussian
271.4,0.009491822525629835,2.0,coherent,det,0.9,3.599970809555557,0.5270484134737048,2.0,,,gaussian
271.4,0.009491822525629835,2.0,coherent,det,0.7,2.7999470253216976,0.5976199580376911,2.0,,,gaussian
271.4,0.009491822525629835,2.0,coherent,inj,0.9,4.0,0.5,2.0,,,gaussian
271.4,0.009491822525629835,2.0,coherent,conc,0.9,3.795600056876921,0.5132864240950157,2.0,,,gaussian
271.4,0.009491822525629835,2.0,sqz_vac,none,1.0,39.59591794226543,0.1589186225978911,2.0,0.0,,gaussian
271.4,0.009491822525629835,2.0,sqz_vac,det,0.9,18.855533178219854,0.23029292255040076,2.0,0.017453292519943295,,gaussian
271.4,0.009491822525629835,2.0,sqz_vac,det,0.7,7.552872120971148,0.36386805906632474,2.0,0.017453292519943295,,gaussian
271.4,0.009491822525629835,2.0,sqz_vac,inj,0.9,20.951352411650515,0.21847108675421986,2.0,0.0,,gaussian
271.4,0.009491822525629835,2.0,sqz_vac,conc,0.9,19.88047695792046,0.22427796160298316,2.0,0.0,,gaussian
271.4,0.009491822525629835,2.0,cat,none,1.0,36.522705062589324,0.1654697199634403,1.9999999999999982,,,fock(N=91)
271.4,0.009491822525629835,2.0,cat,det,0.9,15.3649214078497,0.25511431496960885,1.9999999999999982,,,fock(N=91)
271.4,0.009491822525629835,2.0,cat,det,0.7,4.367365554592999,0.47850912909570603,1.9999999999999982,,,fock(N=91)
271.4,0.009491822525629835,2.0,cat,inj,0.9,17.073098333013295,0.24201586093545197,1.9999999999999982,,,fock(N=91)
271.4,0.009491822525629835,2.0,cat,conc,0.9,16.200378677309455,0.2484490937504529,1.9999999999999982,,,fock(N=91)
271.4,0.009491822525629835,2.0,sqz_cat,none,1.0,39.59572655980679,0.15891900665701325,1.9999999999999993,0.0,0.75,fock(N=93)
271.4,0.009491822525629835,2.0,sqz_cat,det,0.9,18.854491898660072,0.23029928167170555,2.0000000000000004,0.017453292519943295,0.75,fock(N=93)
271.4,0.009491822525629835,2.0,sqz_cat,det,0.7,7.552436075613144,0.3638785630074656,2.0000000000000004,0.017453292519943295,0.75,fock(N=93)
271.4,0.009491822525629835,2.0,sqz_cat,inj,0.9,20.950135418240627,0.21847743215501136,1.9999999999999993,0.0,0.75,fock(N=93)
271.4,0.009491822525629835,2.0,sqz_cat,conc,0.9,19.879322150932307,0.22428447575860025,1.9999999999999993,0.0,0.75,fock(N=93)
271.4,0.009491822525629835,2.0,fock,none,1.0,19.9999999848,0.22360679783494958,2.0,,,fock(N=79)
271.4,0.009491822525629835,2.0,fock,det,0.9,12.181801734882917,0.2865129370025536,2.0,,,fock(N=79)
271.4,0.009491822525629835,2.0,fock,det,0.7,4.743975149569907,0.45912273337185555,2.0,,,fock(N=79)
271.4,0.009491822525629835,2.0,fock,inj,0.9,13.535693771251795,0.27180643836653995,2.0,,,fock(N=79)
271.4,0.009491822525629835,2.0,fock,conc,0.9,12.84392417853779,0.2790301505602676,2.0,,,fock(N=79)
419.2,0.0029048914130861245,2.0,coherent,none,1.0,4.0,0.5,2.0,,,gaussian
419.2,0.0029048914130861245,2.0,coherent,det,0.9,3.5999972659623807,0.527046476828781,2.0,,,gaussian
419.2,0.0029048914130861245,2.0,coherent,det,0.7,2.7999950382330487,0.597614834171991,2.0,,,gaussian
419.2,0.0029048914130861245,2.0,coherent,inj,0.9,4.0,0.5,2.0,,,gaussian
419.2,0.0029048914130861245,2.0,coherent,conc,0.9,3.795609858775874,0.51328576133131,2.0,,,gaussian
419.2,0.0029048914130861245,2.0,sqz_vac,none,1.0,39.59591794226543,0.1589186225978911,2.0,0.0,,gaussian
419.2,0.0029048914130861245,2.0,sqz_vac,det,0.9,18.85613475345444,0.23028924895489192,2.0,0.0,,gaussian
419.2,0.0029048914130861245,2.0,sqz_vac,det,0.7,7.552935560088702,0.36386653095074234,2.0,0.0,,gaussian
419.2,0.0029048914130861245,2.0,sqz_vac,inj,0.9,20.951352411650515,0.21847108675421986,2.0,0.0,,gaussian
419.2,0.0029048914130861245,2.0,sqz_vac,conc,0.9,19.88076543578578,0.22427633441557648,2.0,0.0,,gaussian
419.2,0.0029048914130861245,2.0,cat,none,1.0,36.522705062589324,0.1654697199634403,1.9999999999999982,,,fock(N=91)
419.2,0.0029048914130861245,2.0,cat,det,0.9,15.365707296390909,0.2551077908969907,1.9999999999999982,,,fock(N=91)
419.2,0.0029048914130861245,2.0,cat,det,0.7,4.367580582000477,0.47849734982317726,1.9999999999999982,,,fock(N=91)
419.2,0.0029048914130861245,2.0,cat,inj,0.9,17.073098333013295,0.24201586093545197,1.9999999999999982,,,fock(N=91)
419.2,0.0029048914130861245,2.0,cat,conc,0.9,16.200678361685725,0.2484467958017385,1.9999999999999982,,,fock(N=91)
419.2,0.0029048914130861245,2.0,sqz_cat,none,1.0,39.5957265598068,0.15891900665701322,1.9999999999999993,0.0,0.75,fock(N=93)
419.2,0.0029048914130861245,2.0,sqz_cat,det,0.9,18.85503944366436,0.23029593773447776,1.9999999999999993,0.0,0.75,fock(N=93)
419.2,0.0029048914130861245,2.0,sqz_cat,det,0.7,7.552494539738393,0.36387715460637765,1.9999999999999993,0.0,0.75,fock(N=93)
419.2,0.0029048914130861245,2.0,sqz_cat,inj,0.9,20.95013541824062,0.21847743215501142,1.9999999999999993,0.0,0.75,fock(N=93)
419.2,0.0029048914130861245,2.0,sqz_cat,conc,0.9,19.879610620618596,0.22428284847554356,1.9999999999999993,0.0,0.75,fock(N=93)
419.2,0.0029048914130861245,2.0,fock,none,1.0,19.9999999848,0.22360679783494958,2.0,,,fock(N=79)
419.2,0.0029048914130861245,2.0,fock,det,0.9,12.182094175386236,0.2865094980006401,2.0,,,fock(N=79)
419.2,0.0029048914130861245,2.0,fock,det,0.7,4.744030479016809,0.4591200559985673,2.0,,,fock(N=79)
419.2,0.0029048914130861245,2.0,fock,inj,0.9,13.535693771251808,0.2718064383665399,2.0,,,fock(N=79)
419.2,0.0029048914130861245,2.0,fock,conc,0.9,12.84404416673399,0.2790288472167798,2.0,,,fock(N=79)
647.5,0.000740674097210292,2.0,coherent,none,1.0,4.0,0.5,2.0,,,gaussian
647.5,0.000740674097210292,2.0,coherent,det,0.9,3.5999998222542184,0.5270462897058765,2.0,,,gaussian
647.5,0.000740674097210292,2.0,coherent,det,0.7,2.7999996774243443,0.5976143390914544,2.0,,,gaussian
647.5,0.000740674097210292,2.0,coherent,inj,0.9,4.0,0.5,2.0,,,gaussian
647.5,0.000740674097210292,2.0,coherent,conc,0.9,3.7956108058577445,0.5132856972937025,2.0,,,gaussian
647.5,0.000740674097210292,2.0,sqz_vac,none,1.0,39.59591794226543,0.1589186225978911,2.0,0.0,,gaussian
