freq_hz,K,n_target,state,scenario,qfi,eps_min,n_actual,theta,split,method
10.0,9.529879754433946,2.0,fock,loss_conc,1.1266311449393478,0.9421262914034445,2.0,,,fock(N=169)
10.0,9.529879754433946,2.0,fock,loss_post,0.5166114579596514,1.3912910228584028,2.0,,,fock(N=169)
10.0,9.529879754433946,2.0,fock,loss_post_07,0.2914202343375864,1.8524229310243348,2.0,,,fock(N=340)
10.0,9.529879754433946,2.0,fock,pn_pre,19.9999999848,0.22360679783494958,2.0,,,fock(N=79)
10.0,9.529879754433946,2.0,fock,pn_conc,19.41119939260177,0.22697279967730152,2.0,,,fock(N=169)
10.0,9.529879754433946,2.0,fock,pn_post,18.104670567797513,0.2350199267617125,2.0,,,fock(N=169)
10.0,9.529879754433946,2.0,fock,pn_then_loss,0.5166114579596081,1.391291022858461,2.0,,,fock(N=170)
10.0,9.529879754433946,2.0,fock,loss_then_pn,10.63144908540145,0.3066929325331217,2.0,,,fock(N=170)
17.8,3.004573589138119,2.0,coherent,lossless,4.000000000000001,0.5,2.0,,,gaussian
17.8,3.004573589138119,2.0,coherent,loss_pre,4.000000000000001,0.5,2.0,,,gaussian
17.8,3.004573589138119,2.0,coherent,loss_conc,2.952634243781489,0.5819627318371093,2.0,,,gaussian
17.8,3.004573589138119,2.0,coherent,loss_post,1.9862379961302217,0.7095522102646399,2.0,,,gaussian
17.8,3.004573589138119,2.0,coherent,loss_post_07,0.9669285853349507,1.016957492269874,2.0,,,gaussian
17.8,3.004573589138119,2.0,coherent,pn_pre,2.336375384537034,0.654227339675772,2.0000000000000013,,,fock(N=78)
17.8,3.004573589138119,2.0,coherent,pn_conc,0.6816480532373705,1.211211262945638,2.0000000000000013,,,fock(N=80)
17.8,3.004573589138119,2.0,coherent,pn_post,0.3984687985037396,1.584173849095268,2.0000000000000013,,,fock(N=80)
17.8,3.004573589138119,2.0,coherent,pn_then_loss,1.4639017032078565,0.8265022533622362,2.0000000000000013,,,fock(N=80)
17.8,3.004573589138119,2.0,coherent,loss_then_pn,0.41490078368093647,1.5524866432410478,2.0000000000000013,,,fock(N=80)
17.8,3.004573589138119,2.0,sqz_vac,lossless,39.59591794226924,0.15891862259788347,2.0,0.0,,gaussian
17.8,3.004573589138119,2.0,sqz_vac,loss_pre,20.95135241165029,0.218471086754221,2.0,0.0,,gaussian
17.8,3.004573589138119,2.0,sqz_vac,loss_conc,10.057442298819003,0.31532341775388956,2.0,1.3439035240356338,,gaussian
17.8,3.004573589138119,2.0,sqz_vac,loss_post,5.798747044875307,0.41527225664850764,2.0,2.007128639793479,,gaussian
17.8,3.004573589138119,2.0,sqz_vac,loss_post_07,3.1553005192164303,0.5629627189508162,2.0,2.356194490192345,,gaussian
17.8,3.004573589138119,2.0,sqz_vac,pn_pre,36.04376131636592,0.16656545958378527,1.9999998957484726,0.0,,fock(N=79)
17.8,3.004573589138119,2.0,sqz_vac,pn_conc,37.93866351293287,0.16235250210171157,1.9999999975042446,0.0,,fock(N=97)
