state,config,f_hz,kappa_ba,qfi,qfi_lossless,N_basis,converged,n_target,eta
cat,detection,106.94488000533931,0.07890791070042819,15.306047034760315,36.52270511179768,20,True,2.0,0.9
cat,detection,61.15753843212785,0.25029573720667914,14.781334976220435,36.52270511179768,20,True,2.0,0.9
cat,detection,34.973572431802815,0.7748301026374895,10.980934080741026,36.52270511179768,40,True,2.0,0.9
cat,detection,20.0,2.37894731178945,3.2411751650390506,36.52270511179768,115,True,2.0,0.9
sqz_cat,injection,1000.0,0.00016056163311836322,20.918422693549648,39.59003473379451,70,True,2.0,0.9
sqz_cat,injection,571.8603679678212,0.0011149643575671764,20.918422693549726,39.59003473379451,70,True,2.0,0.9
sqz_cat,injection,327.02428045229215,0.005834230226925198,20.918422693549687,39.59003473379451,70,True,2.0,0.9
sqz_cat,injection,187.01222535385972,0.023247249677455617,20.918422693549644,39.59003473379451,70,True,2.0,0.9
sqz_cat,injection,106.94488000533931,0.07890791070042819,20.91842269354956,39.59003473379451,70,True,2.0,0.9
sqz_cat,injection,61.15753843212785,0.25029573720667914,20.918422693549708,39.59003473379451,70,True,2.0,0.9
sqz_cat,injection,34.973572431802815,0.7748301026374895,20.918422693549616,39.59003473379451,70,True,2.0,0.9
sqz_cat,injection,20.0,2.37894731178945,20.91842269354974,39.59003473379451,70,True,2.0,0.9
sqz_cat,detection,1000.0,0.00016056163311836322,18.826580172701078,39.59003473379451,70,True,2.0,0.9
sqz_cat,detection,571.8603679678212,0.0011149643575671764,18.826568291967913,39.59003473379451,70,True,2.0,0.9
sqz_cat,detection,327.02428045229215,0.005834230226925198,18.82624823778201,39.59003473379451,70,True,2.0,0.9
sqz_cat,detection,187.01222535385972,0.023247249677455617,18.821307592090363,39.59003473379451,70,True,2.0,0.9
sqz_cat,detection,106.94488000533931,0.07890791070042819,18.766009653252638,39.59003473379451,70,True,2.0,0.9
sqz_cat,detection,61.15753843212785,0.25029573720667914,18.23441737923736,39.59003473379451,70,True,2.0,0.9
sqz_cat,detection,34.973572431802815,0.7748301026374895,14.358848484610526,39.59003473379451,100,True,2.0,0.9
sqz_cat,detection,20.0,2.37894731178945,4.7908675033662735,39.59003473379451,345,True,2.0,0.9
fock,injection,1000.0,0.00016056163311836322,13.535693770456103,20.0,20,True,2.0,0.9
fock,injection,571.8603679678212,0.0011149643575671764,13.535693770456128,20.0,20,True,2.0,0.9
fock,injection,327.02428045229215,0.005834230226925198,13.535693770456117,20.0,20,True,2.0,0.9
fock,injection,187.01222535385972,0.023247249677455617,13.535693770456115,20.0,20,True,2.0,0.9
fock,injection,106.94488000533931,0.07890791070042819,13.535693770456112,20.0,20,True,2.0,0.9
fock,injection,61.15753843212785,0.25029573720667914,13.53569377045613,20.0,20,True,2.0,0.9
fock,injection,34.973572431802815,0.7748301026374895,13.535693770456101,20.0,20,True,2.0,0.9
fock,injection,20.0,2.37894731178945,13.535693770456158,20.0,20,True,2.0,0.9
fock,detection,1000.0,0.00016056163311836322,12.182124301930624,20.0,20,True,2.0,0.9
fock,detection,571.8603679678212,0.0011149643575671764,12.182119941984316,20.0,20,True,2.0,0.9
fock,detection,327.02428045229215,0.005834230226925198,12.182002488814213,20.0,20,True,2.0,0.9
fock,detection,187.01222535385972,0.023247249677455617,12.180189155096258,20.0,20,True,2.0,0.9
fock,detection,106.94488000533931,0.07890791070042819,12.159865226459306,20.0,20,True,2.0,0.9
fock,detection,61.15753843212785,0.25029573720667914,11.961817960109276,20.0,20,True,2.0,0.9
fock,detection,34.973572431802815,0.7748301026374895,10.357964424371357,20.0,20,True,2.0,0.9
fock,detection,20.0,2.37894731178945,4.7414660465712055,20.0,70,True,2.0,0.9
opt_fock_sup,injection,1000.0,0.00016056163311836322,15.59704279774704,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,injection,571.8603679678212,0.0011149643575671764,15.597042797747049,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,injection,327.02428045229215,0.005834230226925198,15.597042797747068,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,injection,187.01222535385972,0.023247249677455617,15.59704279774704,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,injection,106.94488000533931,0.07890791070042819,15.597042797747054,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,injection,61.15753843212785,0.25029573720667914,15.597042797747044,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,injection,34.973572431802815,0.7748301026374895,15.597042797747047,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,injection,20.0,2.37894731178945,15.597042797747081,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,detection,1000.0,0.00016056163311836322,14.037338325488701,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,detection,571.8603679678212,0.0011149643575671764,14.037329160347388,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,detection,327.02428045229215,0.005834230226925198,14.037082263998872,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,detection,187.01222535385972,0.023247249677455617,14.033270672842775,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,detection,106.94488000533931,0.07890791070042819,13.990573001000275,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,detection,61.15753843212785,0.25029573720667914,13.576699790327481,29.7979909709249,20,True,2.0,0.9
opt_fock_sup,detection,34.973572431802815,0.7748301026374895,10.38832363126891,29.7979909709249,40,True,2.0,0.9
opt_fock_sup,detection,20.0,2.37894731178945,2.625404495569263,29.7979909709249,115,True,2.0,0.9
