state,placement,f_hz,kappa_ba,qfi,N_basis,converged
cat,injection,187.01222535385972,0.023247249677455617,17.073098322530427,20,True
cat,injection,106.94488000533931,0.07890791070042819,17.07309832253042,20,True
cat,injection,61.15753843212785,0.25029573720667914,17.073098322530427,20,True
cat,injection,34.973572431802815,0.7748301026374895,17.073098322530427,20,True
cat,injection,20.0,2.37894731178945,17.073098322530427,20,True
cat,mid,1000.0,0.00016056163311836322,17.07309804009403,20,True
cat,mid,571.8603679678212,0.0011149643575671764,17.073085018496318,20,True
cat,mid,327.02428045229215,0.005834230226925198,17.07273431310928,20,True
cat,mid,187.01222535385972,0.023247249677455617,17.067320348381614,20,True
cat,mid,106.94488000533931,0.07890791070042819,17.006718925741325,20,True
cat,mid,61.15753843212785,0.25029573720667914,16.423705527496324,20,True
cat,mid,34.973572431802815,0.7748301026374895,12.201037866651902,40,True
cat,mid,20.0,2.37894731178945,3.6013205374902,115,True
cat,detection,1000.0,0.00016056163311836322,15.365788237487155,20,True
cat,detection,571.8603679678212,0.0011149643575671764,15.36577651832615,20,True
cat,detection,327.02428045229215,0.005834230226925198,15.365460883404552,20,True
cat,detection,187.01222535385972,0.023247249677455617,15.360588315148767,20,True
cat,detection,106.94488000533931,0.07890791070042819,15.306047034760306,20,True
cat,detection,61.15753843212785,0.25029573720667914,14.781334976220439,20,True
cat,detection,34.973572431802815,0.7748301026374895,10.980934080741063,40,True
cat,detection,20.0,2.37894731178945,3.241175165039017,115,True
cat,channel,1000.0,0.00016056163311836322,16.200709315855217,20,True
cat,channel,571.8603679678212,0.0011149643575671764,16.200704805051963,20,True
cat,channel,327.02428045229215,0.005834230226925198,16.200584487805344,20,True
cat,channel,187.01222535385972,0.023247249677455617,16.19872613175643,20,True
cat,channel,106.94488000533931,0.07890791070042819,16.177883284017383,20,True
cat,channel,61.15753843212785,0.25029573720667914,15.973382036932694,20,True
cat,channel,34.973572431802815,0.7748301026374895,14.218704797135828,40,True
cat,channel,20.0,2.37894731178945,6.657199943910133,115,True
fock,injection,1000.0,0.00016056163311836322,13.535693770456106,20,True
fock,injection,571.8603679678212,0.0011149643575671764,13.53569377045612,20,True
fock,injection,327.02428045229215,0.005834230226925198,13.535693770456117,20,True
fock,injection,187.01222535385972,0.023247249677455617,13.535693770456122,20,True
fock,injection,106.94488000533931,0.07890791070042819,13.535693770456104,20,True
fock,injection,61.15753843212785,0.25029573720667914,13.535693770456128,20,True
fock,injection,34.973572431802815,0.7748301026374895,13.535693770456104,20,True
fock,injection,20.0,2.37894731178945,13.535693770456106,20,True
fock,mid,1000.0,0.00016056163311836322,13.535693667866989,20,True
fock,mid,571.8603679678212,0.0011149643575671764,13.535688823482202,20,True
fock,mid,327.02428045229215,0.005834230226925198,13.535558319959867,20,True
fock,mid,187.01222535385972,0.023247249677455617,13.53354350471804,20,True
fock,mid,106.94488000533931,0.07890791070042819,13.510961361791699,20,True
fock,mid,61.15753843212785,0.25029573720667914,13.29090884402845,20,True
fock,mid,34.973572431802815,0.7748301026374895,11.508849360050869,20,True
fock,mid,20.0,2.37894731178945,5.268295607196999,70,True
fock,detection,1000.0,0.00016056163311836322,12.18212430193063,20,True
fock,detection,571.8603679678212,0.0011149643575671764,12.182119941984315,20,True
fock,detection,327.02428045229215,0.005834230226925198,12.182002488814208,20,True
fock,detection,187.01222535385972,0.023247249677455617,12.180189155096269,20,True
fock,detection,106.94488000533931,0.07890791070042819,12.159865226459306,20,True
fock,detection,61.15753843212785,0.25029573720667914,11.961817960109276,20,True
fock,detection,34.973572431802815,0.7748301026374895,10.357964424371358,20,True
fock,detection,20.0,2.37894731178945,4.741466046571149,70,True
fock,channel,1000.0,0.00016056163311836322,12.84405655530366,20,True
fock,channel,571.8603679678212,0.0011149643575671764,12.844054674117,20,True
fock,channel,327.02428045229215,0.005834230226925198,12.844006568285852,20,True
fock,channel,187.01222535385972,0.023247249677455617,12.843262370747624,20,True
fock,channel,106.94488000533931,0.07890791070042819,12.834911207327915,20,True
fock,channel,61.15753843212785,0.25029573720667914,12.752566541109779,20,True
fock,channel,34.973572431802815,0.7748301026374895,12.01300490900012,20,True
fock,channel,20.0,2.37894731178945,7.697871760098114,115,True
